case_id,start_time,end_time,involved_device_count,fused_latitude,fused_longitude,estimated_scene_type,final_result,response_status,response_time_sec,evidence_generated
CASE000046,2026-01-02 20:31:36,2026-01-02 20:58:51,2,31.245647726299634,121.55239253979762,arterial_road,confirmed_firework,handled,1718,1
CASE000047,2026-01-02 21:26:43,2026-01-02 21:29:43,1,31.30953934462683,121.43840347123523,residential_area,suspected_firework,closed,1437,1
CASE000048,2026-01-02 21:37:29,2026-01-02 21:55:42,3,31.209294604438266,121.55776681524654,residential_area,confirmed_firework,closed,1063,1
CASE000049,2026-01-02 22:11:44,2026-01-02 22:31:46,6,31.22176131499252,121.44410578054625,arterial_road,confirmed_firework,handled,465,1
CASE000050,2026-01-02 22:36:23,2026-01-02 22:55:05,3,31.16573861185157,121.48373240458685,construction_site,confirmed_firework,handled,1332,1
CASE000051,2026-01-02 23:00:12,2026-01-02 23:11:32,3,31.24137491185847,121.5145423184149,residential_area,confirmed_firework,closed,1637,1
CASE000052,2026-01-02 23:47:20,2026-01-02 23:50:20,1,31.244747199444134,121.5351502859566,arterial_road,suspected_firework,closed,1603,1
CASE000053,2026-01-03 00:05:25,2026-01-03 00:08:25,1,31.174816485052894,121.4538246438921,industrial_park,suspected_firework,handled,955,1
CASE000054,2026-01-03 00:35:26,2026-01-03 00:59:47,2,31.204305059360223,121.43103318872143,construction_site,confirmed_firework,closed,1337,1
CASE000055,2026-01-03 01:19:32,2026-01-03 01:25:07,2,31.20557404243218,121.53916466882475,construction_site,confirmed_firework,handled,749,1
CASE000056,2026-01-03 02:07:15,2026-01-03 02:18:18,2,31.196860965720024,121.56376399404974,arterial_road,confirmed_firework,handled,1035,1
CASE000057,2026-01-03 02:52:41,2026-01-03 02:59:55,2,31.255394999868383,121.46575140507355,arterial_road,confirmed_firework,closed,847,1
CASE000058,2026-01-03 03:53:44,2026-01-03 03:56:44,1,31.154966665800092,121.42620212547989,residential_area,suspected_firework,handled,1458,1
CASE000059,2026-01-03 04:33:02,2026-01-03 04:43:26,2,31.103323280904014,121.54039570332989,construction_site,confirmed_firework,handled,1777,1
CASE000060,2026-01-03 05:18:51,2026-01-03 05:21:51,1,31.245936795150826,121.57637051453194,residential_area,suspected_firework,closed,1430,1
CASE000061,2026-01-03 07:31:21,2026-01-03 07:59:06,3,31.17416730147799,121.42078197178759,residential_area,confirmed_firework,under_review,999,1
CASE000062,2026-01-03 08:02:54,2026-01-03 08:07:40,2,31.17375705461587,121.4441437779078,arterial_road,confirmed_firework,handled,1196,1
CASE000063,2026-01-03 08:55:34,2026-01-03 08:58:34,1,31.22196977475815,121.58788686410924,residential_area,suspected_firework,handled,1407,1
CASE000064,2026-01-03 09:42:01,2026-01-03 09:45:01,1,31.25203362102897,121.42544326394521,arterial_road,suspected_firework,handled,981,1
CASE000065,2026-01-03 10:30:19,2026-01-03 10:46:45,2,31.168978023825105,121.49433423304932,arterial_road,confirmed_firework,under_review,1629,1
CASE000066,2026-01-03 11:07:31,2026-01-03 11:26:52,2,31.26715955322531,121.5636858800326,arterial_road,confirmed_firework,handled,391,1
CASE000067,2026-01-03 11:56:50,2026-01-03 11:59:50,1,31.128326190170068,121.4963632520935,industrial_park,suspected_firework,handled,674,1
CASE000068,2026-01-03 12:43:58,2026-01-03 12:46:58,1,31.251615200401325,121.50644576447873,residential_area,suspected_firework,handled,1562,1
CASE000069,2026-01-03 13:23:21,2026-01-03 13:26:21,1,31.214173912802615,121.44478700148389,residential_area,suspected_firework,handled,1407,1
CASE000070,2026-01-03 13:51:19,2026-01-03 13:54:19,1,31.26231601438133,121.48069983059071,residential_area,suspected_firework,handled,1100,0
CASE000071,2026-01-03 15:00:41,2026-01-03 15:03:41,1,31.269767738735684,121.3882127953587,industrial_park,suspected_firework,handled,520,0
CASE000072,2026-01-03 16:13:29,2026-01-03 16:16:29,1,31.12972292758692,121.50493722107386,industrial_park,suspected_firework,closed,1312,1
CASE000073,2026-01-03 16:38:55,2026-01-03 16:41:55,1,31.191069810247154,121.58847848452781,arterial_road,suspected_firework,closed,1798,1
CASE000074,2026-01-03 17:00:42,2026-01-03 17:14:19,5,31.22111973179434,121.4787865080617,arterial_road,confirmed_firework,handled,1101,1
CASE000075,2026-01-03 17:31:37,2026-01-03 18:00:19,7,31.22178215319025,121.45765581547198,residential_area,confirmed_firework,closed,1235,1
CASE000076,2026-01-03 18:01:41,2026-01-03 18:29:09,7,31.2081642605964,121.45714002224366,residential_area,confirmed_firework,handled,1194,1
CASE000077,2026-01-03 18:35:59,2026-01-03 19:01:44,4,31.19307401293803,121.40092979046175,arterial_road,confirmed_firework,closed,1347,1
CASE000078,2026-01-03 19:07:41,2026-01-03 19:28:37,5,31.20988611576495,121.44959286175465,residential_area,confirmed_firework,handled,466,1
CASE000079,2026-01-03 19:29:26,2026-01-03 19:47:34,4,31.22066976841622,121.43900212267847,arterial_road,confirmed_firework,handled,1132,1
CASE000080,2026-01-03 20:01:41,2026-01-03 20:28:45,4,31.22269090317001,121.45147070680467,industrial_park,confirmed_firework,under_review,930,1
CASE000081,2026-01-03 20:30:51,2026-01-03 20:55:49,6,31.208132575516924,121.50317443036487,residential_area,confirmed_firework,under_review,1498,1
CASE000082,2026-01-03 21:07:57,2026-01-03 21:30:55,10,31.19752117027211,121.45763127417791,arterial_road,confirmed_firework,closed,348,1
CASE000083,2026-01-03 21:29:11,2026-01-03 22:01:46,7,31.204337385772416,121.46951076922466,residential_area,confirmed_firework,handled,714,0
CASE000084,2026-01-03 22:02:47,2026-01-03 22:22:43,4,31.227359526567906,121.5044823888246,residential_area,confirmed_firework,closed,971,1
CASE000085,2026-01-03 22:33:43,2026-01-03 22:59:02,7,31.239077481737944,121.4728821179131,residential_area,confirmed_firework,handled,1240,1
CASE000086,2026-01-03 23:00:02,2026-01-03 23:31:52,7,31.162987527167044,121.43283174424909,residential_area,confirmed_firework,handled,1204,1
CASE000087,2026-01-03 23:32:05,2026-01-04 00:00:49,9,31.20519995809051,121.45447554759279,arterial_road,confirmed_firework,closed,310,1
CASE000088,2026-01-04 00:02:04,2026-01-04 00:05:04,1,31.25184871509995,121.41970790652076,arterial_road,suspected_firework,handled,447,1
CASE000089,2026-01-04 00:34:32,2026-01-04 00:46:47,2,31.217730369669443,121.41592919707386,construction_site,confirmed_firework,under_review,614,1
CASE000090,2026-01-04 01:36:31,2026-01-04 01:39:31,1,31.250648104874678,121.48163944003122,construction_site,suspected_firework,closed,576,1
CASE000091,2026-01-04 03:19:14,2026-01-04 03:22:14,1,31.304865872878775,121.50108995404489,arterial_road,suspected_firework,handled,399,1
CASE000092,2026-01-04 03:48:04,2026-01-04 03:51:04,1,31.05882029801059,121.34596471591999,residential_area,suspected_firework,handled,1022,1
CASE000093,2026-01-04 04:45:33,2026-01-04 04:57:42,2,31.28684011685419,121.48326124204381,construction_site,confirmed_firework,handled,369,1
CASE000094,2026-01-04 05:03:35,2026-01-04 05:09:43,3,31.21760761230432,121.52337188953297,residential_area,confirmed_firework,handled,1632,1
CASE000095,2026-01-04 05:48:18,2026-01-04 05:57:26,2,31.20590410920789,121.4603149190597,arterial_road,confirmed_firework,handled,897,1
CASE000096,2026-01-04 06:10:52,2026-01-04 06:30:53,3,31.19591133746814,121.51246720223217,residential_area,confirmed_firework,closed,228,1
CASE000097,2026-01-04 06:54:49,2026-01-04 06:57:49,1,31.29079817089426,121.45828560194758,construction_site,suspected_firework,under_review,728,1
CASE000098,2026-01-04 07:03:19,2026-01-04 07:06:19,1,31.267570266742254,121.4958408033535,arterial_road,suspected_firework,under_review,1576,1
CASE000099,2026-01-04 07:45:29,2026-01-04 07:48:29,1,31.16632281632964,121.44822004115932,residential_area,suspected_firework,closed,1418,1
CASE000100,2026-01-04 08:22:19,2026-01-04 08:25:19,1,31.22804782856308,121.66035758766401,residential_area,suspected_firework,under_review,1569,1
CASE000101,2026-01-04 10:27:37,2026-01-04 10:30:37,1,31.217418005871224,121.42738643791964,industrial_park,suspected_firework,closed,777,1
CASE000102,2026-01-04 10:44:51,2026-01-04 10:57:59,4,31.17298923056295,121.51650885159101,residential_area,confirmed_firework,under_review,653,1
CASE000103,2026-01-04 12:06:28,2026-01-04 12:09:28,1,31.128148679222452,121.48234835484807,residential_area,suspected_firework,handled,1204,1
CASE000104,2026-01-04 12:41:00,2026-01-04 12:51:18,2,31.268928864012366,121.50527906512586,arterial_road,confirmed_firework,handled,1229,0
CASE000105,2026-01-04 13:05:04,2026-01-04 13:27:59,2,31.218880244421722,121.53654513037715,industrial_park,confirmed_firework,closed,510,1
CASE000106,2026-01-04 14:48:24,2026-01-04 14:51:24,1,31.151721464190505,121.41077482119329,arterial_road,suspected_firework,closed,1680,1
CASE000107,2026-01-04 15:11:32,2026-01-04 15:23:57,2,31.16457844232048,121.39219659133657,industrial_park,confirmed_firework,closed,441,1
CASE000108,2026-01-04 16:11:04,2026-01-04 16:14:04,1,31.190665154460888,121.48793310361147,industrial_park,suspected_firework,closed,1502,1
CASE000109,2026-01-04 16:31:12,2026-01-04 16:34:12,1,31.07880180947148,121.44248273046743,arterial_road,suspected_firework,handled,547,1
CASE000110,2026-01-04 17:01:38,2026-01-04 17:17:07,2,31.226394200867933,121.49867917520672,residential_area,confirmed_firework,under_review,848,1
CASE000111,2026-01-04 17:40:16,2026-01-04 17:52:24,2,31.25239358252345,121.50625112291392,arterial_road,confirmed_firework,closed,1202,1
CASE000112,2026-01-04 18:01:35,2026-01-04 18:28:29,5,31.175983271758852,121.45914953428198,arterial_road,confirmed_firework,closed,1485,1
CASE000113,2026-01-04 18:33:13,2026-01-04 18:57:29,3,31.21291831101697,121.46127277536317,industrial_park,confirmed_firework,handled,382,1
CASE000114,2026-01-04 19:12:22,2026-01-04 19:26:43,3,31.146678392531182,121.48735841659528,construction_site,confirmed_firework,under_review,184,1
CASE000115,2026-01-04 19:34:09,2026-01-04 20:01:00,9,31.2158056953999,121.45335177489953,residential_area,confirmed_firework,handled,1692,1
CASE000116,2026-01-04 20:07:45,2026-01-04 20:31:36,9,31.174920937201254,121.52031896473561,construction_site,confirmed_firework,handled,1181,1
CASE000117,2026-01-04 20:36:58,2026-01-04 20:58:10,5,31.163660046874902,121.50244038272999,residential_area,confirmed_firework,closed,1409,1
CASE000118,2026-01-04 20:59:11,2026-01-04 21:26:44,6,31.193969242323575,121.48502320135239,residential_area,confirmed_firework,closed,1161,1
CASE000119,2026-01-04 21:30:18,2026-01-04 22:01:27,9,31.199499658161866,121.51451217565143,industrial_park,confirmed_firework,handled,148,0
CASE000120,2026-01-04 22:03:06,2026-01-04 22:25:48,7,31.194014339891293,121.45685891680347,arterial_road,confirmed_firework,handled,1513,1
CASE000121,2026-01-04 22:29:02,2026-01-04 22:59:52,9,31.243346677711695,121.4871721217124,residential_area,confirmed_firework,closed,834,1
CASE000122,2026-01-04 23:01:30,2026-01-04 23:29:46,9,31.23136831393601,121.48976452132413,arterial_road,confirmed_firework,handled,1107,1
CASE000123,2026-01-04 23:29:55,2026-01-05 00:00:54,7,31.225499408992782,121.44289899550542,arterial_road,confirmed_firework,handled,650,0
CASE000124,2026-01-05 00:10:35,2026-01-05 00:13:35,1,31.280362727926153,121.4937722253709,residential_area,suspected_firework,under_review,1464,1
CASE000125,2026-01-05 00:46:14,2026-01-05 00:53:35,2,31.174151398902655,121.46789318933716,industrial_park,confirmed_firework,closed,328,1
CASE000126,2026-01-05 01:00:24,2026-01-05 01:11:09,2,31.232747415795014,121.47206705237073,industrial_park,confirmed_firework,under_review,1389,1
CASE000127,2026-01-05 01:41:15,2026-01-05 02:01:10,5,31.210448488319084,121.45167465377416,construction_site,confirmed_firework,handled,1237,1
CASE000128,2026-01-05 02:27:34,2026-01-05 02:30:34,1,31.131193244579457,121.56640108248882,arterial_road,suspected_firework,handled,539,1
CASE000129,2026-01-05 02:39:16,2026-01-05 02:56:37,4,31.177905753078882,121.42568899984082,arterial_road,confirmed_firework,handled,1008,1
CASE000130,2026-01-05 03:19:09,2026-01-05 03:22:09,1,31.217292218697636,121.41935080556428,industrial_park,suspected_firework,under_review,455,1
CASE000131,2026-01-05 03:39:36,2026-01-05 03:58:41,3,31.29995284133333,121.54659704627177,arterial_road,confirmed_firework,under_review,704,1
CASE000132,2026-01-05 04:35:06,2026-01-05 04:59:45,6,31.177005440728486,121.43829670499001,arterial_road,confirmed_firework,handled,885,1
CASE000133,2026-01-05 05:05:10,2026-01-05 05:08:10,1,31.291016793594267,121.39478641781356,arterial_road,suspected_firework,under_review,1506,1
CASE000134,2026-01-05 05:40:30,2026-01-05 06:01:51,2,31.211317495633267,121.42637936189014,industrial_park,confirmed_firework,handled,601,1
CASE000135,2026-01-05 06:06:08,2026-01-05 06:17:50,2,31.192492732495015,121.52234338032227,arterial_road,confirmed_firework,handled,653,1
CASE000136,2026-01-05 06:29:22,2026-01-05 06:42:01,3,31.164201917338968,121.42451556795692,arterial_road,confirmed_firework,closed,279,1
CASE000137,2026-01-05 07:28:39,2026-01-05 07:31:39,1,31.262842169477185,121.5169882050548,arterial_road,suspected_firework,handled,242,1
CASE000138,2026-01-05 08:48:57,2026-01-05 08:51:57,1,31.19288129423522,121.58708968974483,arterial_road,suspected_firework,closed,1682,1
CASE000139,2026-01-05 08:59:38,2026-01-05 09:18:53,3,31.18325551448089,121.53017497576108,arterial_road,confirmed_firework,closed,1314,0
CASE000140,2026-01-05 09:54:28,2026-01-05 09:57:28,1,31.191170124415265,121.4880279105123,industrial_park,suspected_firework,closed,707,1
CASE000141,2026-01-05 10:07:42,2026-01-05 10:23:52,3,31.191144721497682,121.44684240159272,residential_area,confirmed_firework,closed,704,1
CASE000142,2026-01-05 10:47:01,2026-01-05 10:50:01,1,31.193931818557434,121.481313997103,industrial_park,suspected_firework,handled,699,1
CASE000143,2026-01-05 11:19:54,2026-01-05 11:27:31,2,31.181313418641636,121.51396236324447,residential_area,confirmed_firework,closed,677,1
CASE000144,2026-01-05 11:58:18,2026-01-05 12:01:18,1,31.19121013247194,121.68216307467047,arterial_road,suspected_firework,handled,1670,1
CASE000145,2026-01-05 12:39:43,2026-01-05 12:58:35,3,31.249641828004055,121.46607436797356,arterial_road,confirmed_firework,closed,345,1
CASE000146,2026-01-05 13:06:48,2026-01-05 13:28:28,2,31.186836262085336,121.37335544953947,arterial_road,confirmed_firework,handled,1036,1
CASE000147,2026-01-05 13:32:54,2026-01-05 13:47:37,2,31.193602185110976,121.52622581149826,residential_area,confirmed_firework,under_review,1135,1
CASE000148,2026-01-05 13:59:11,2026-01-05 14:06:03,2,31.21948017429295,121.38443875038642,arterial_road,confirmed_firework,handled,646,0
CASE000149,2026-01-05 14:34:55,2026-01-05 14:54:01,3,31.238250302581942,121.50461087831869,arterial_road,confirmed_firework,under_review,242,1
CASE000150,2026-01-05 15:02:06,2026-01-05 15:22:44,4,31.175213785751303,121.51857165702654,residential_area,confirmed_firework,under_review,351,1
CASE000151,2026-01-05 15:40:40,2026-01-05 15:43:40,1,31.105504006833193,121.55753321712193,construction_site,suspected_firework,closed,341,1
CASE000152,2026-01-05 16:09:52,2026-01-05 16:24:31,3,31.248058112377496,121.49955369043025,arterial_road,confirmed_firework,handled,1666,1
CASE000153,2026-01-05 16:46:33,2026-01-05 16:49:33,1,31.244809264804154,121.43797488663036,construction_site,suspected_firework,closed,379,1
CASE000154,2026-01-05 16:59:22,2026-01-05 17:29:43,10,31.193374459176926,121.43521227582477,construction_site,confirmed_firework,handled,1139,1
CASE000155,2026-01-05 17:29:29,2026-01-05 18:01:36,14,31.200426415486053,121.46027217729974,arterial_road,confirmed_firework,handled,406,1
CASE000156,2026-01-05 18:02:08,2026-01-05 18:31:17,7,31.16847139301595,121.49149877118829,residential_area,confirmed_firework,under_review,215,1
CASE000157,2026-01-05 18:30:44,2026-01-05 18:58:03,8,31.207549179171426,121.46637065720256,residential_area,confirmed_firework,handled,1344,1
CASE000158,2026-01-05 19:02:25,2026-01-05 19:28:41,11,31.208244060483214,121.45045199348742,residential_area,confirmed_firework,closed,1006,1
CASE000159,2026-01-05 19:29:14,2026-01-05 19:59:40,11,31.20210143312472,121.45072388302115,arterial_road,confirmed_firework,handled,1629,1
CASE000160,2026-01-05 20:00:54,2026-01-05 20:30:57,12,31.228222688598667,121.4599101573719,arterial_road,confirmed_firework,under_review,1230,1
CASE000161,2026-01-05 20:31:32,2026-01-05 21:01:07,12,31.1962111540969,121.48664349439909,residential_area,confirmed_firework,under_review,125,1
CASE000162,2026-01-05 20:59:29,2026-01-05 21:31:05,17,31.1800311274969,121.47607401575043,residential_area,confirmed_firework,handled,1576,1
CASE000163,2026-01-05 21:29:46,2026-01-05 22:01:38,14,31.227102847533512,121.44616736874633,residential_area,confirmed_firework,handled,506,1
CASE000164,2026-01-05 22:04:29,2026-01-05 22:31:42,12,31.20712000412276,121.47393761971453,residential_area,confirmed_firework,handled,705,1
CASE000165,2026-01-05 22:29:13,2026-01-05 23:01:29,12,31.24036133291675,121.4605165492479,residential_area,confirmed_firework,handled,1577,1
CASE000166,2026-01-05 23:00:10,2026-01-05 23:29:19,16,31.217602221630337,121.44254066557168,residential_area,confirmed_firework,closed,1734,1
CASE000167,2026-01-05 23:35:10,2026-01-06 00:00:26,12,31.19459787425268,121.47158920847566,industrial_park,confirmed_firework,closed,1600,1
CASE000168,2026-01-06 00:10:07,2026-01-06 00:23:15,2,31.207631483496623,121.49268340079574,construction_site,confirmed_firework,handled,1398,1
CASE000169,2026-01-06 00:40:51,2026-01-06 00:43:51,1,31.151329354222817,121.43485424281359,residential_area,suspected_firework,closed,1146,1
CASE000170,2026-01-06 01:39:32,2026-01-06 01:54:16,3,31.25686772699143,121.47842959000874,residential_area,confirmed_firework,closed,1787,1
CASE000171,2026-01-06 03:40:22,2026-01-06 03:43:22,1,31.242791693461907,121.51746214087703,residential_area,suspected_firework,handled,620,1
CASE000172,2026-01-06 04:41:47,2026-01-06 04:44:47,1,31.188790786932724,121.48800848962027,industrial_park,suspected_firework,handled,512,0
CASE000173,2026-01-06 05:37:25,2026-01-06 05:40:25,1,31.227142591536662,121.50656233502427,industrial_park,suspected_firework,under_review,1682,1
CASE000174,2026-01-06 06:02:32,2026-01-06 06:05:32,1,31.045254337309576,121.52805119633065,industrial_park,suspected_firework,closed,1068,1
CASE000175,2026-01-06 06:37:54,2026-01-06 06:40:54,1,31.135284363970285,121.51515501529938,residential_area,suspected_firework,closed,203,1
CASE000176,2026-01-06 08:15:07,2026-01-06 08:18:07,1,31.224945342834307,121.50022061456066,arterial_road,suspected_firework,handled,1592,1
CASE000177,2026-01-06 08:39:24,2026-01-06 08:42:24,1,31.220292322879292,121.5854941040558,residential_area,suspected_firework,closed,1277,1
CASE000178,2026-01-06 14:38:03,2026-01-06 14:41:03,1,31.1298641209783,121.48060718587655,residential_area,suspected_firework,handled,1012,1
CASE000179,2026-01-06 15:20:26,2026-01-06 15:23:26,1,31.280543232096825,121.49979787117968,residential_area,suspected_firework,handled,537,1
CASE000180,2026-01-06 16:28:34,2026-01-06 16:31:34,1,31.192419480858497,121.48784198144482,industrial_park,suspected_firework,closed,237,1
CASE000181,2026-01-06 17:15:15,2026-01-06 17:18:15,1,31.24958439910531,121.52582792648403,arterial_road,suspected_firework,handled,1710,1
CASE000182,2026-01-06 17:52:26,2026-01-06 17:55:26,1,31.24156028853296,121.57983950245766,residential_area,suspected_firework,handled,795,1
CASE000183,2026-01-06 18:16:06,2026-01-06 18:19:06,1,31.188740296385014,121.3231822010157,residential_area,suspected_firework,under_review,1074,1
CASE000184,2026-01-06 18:50:48,2026-01-06 18:55:51,2,31.197530302624678,121.42396477071021,residential_area,confirmed_firework,handled,228,1
CASE000185,2026-01-06 19:01:25,2026-01-06 19:10:06,2,31.23953862073057,121.49451860794221,arterial_road,confirmed_firework,under_review,666,1
CASE000186,2026-01-06 19:30:01,2026-01-06 19:33:01,1,31.18895126354023,121.32380784869031,residential_area,suspected_firework,handled,1132,1
CASE000187,2026-01-06 20:16:53,2026-01-06 20:19:53,1,31.212010790526627,121.41338733589546,industrial_park,suspected_firework,closed,166,1
CASE000188,2026-01-06 20:30:39,2026-01-06 20:33:39,1,31.17713343921599,121.46163585079138,industrial_park,suspected_firework,handled,394,1
CASE000189,2026-01-06 20:59:14,2026-01-06 21:29:06,10,31.21607735453206,121.5077233441767,residential_area,confirmed_firework,handled,747,1
CASE000190,2026-01-06 21:34:08,2026-01-06 21:37:08,1,31.136163540761288,121.51734249183838,residential_area,suspected_firework,handled,677,1
CASE000191,2026-01-06 22:00:27,2026-01-06 22:27:36,11,31.21317120542684,121.4695327167366,residential_area,confirmed_firework,handled,1512,1
CASE000192,2026-01-06 22:44:05,2026-01-06 22:58:13,2,31.190127464497092,121.39640427872367,construction_site,confirmed_firework,handled,1204,1
CASE000193,2026-01-06 23:01:42,2026-01-06 23:25:30,2,31.214933372645014,121.43925616645406,arterial_road,confirmed_firework,closed,613,0
CASE000194,2026-01-06 23:32:02,2026-01-06 23:37:24,2,31.16945461345882,121.48992366513713,arterial_road,confirmed_firework,under_review,1219,1
CASE000195,2026-01-07 00:27:00,2026-01-07 00:30:00,1,31.210598783611402,121.49967252275474,residential_area,suspected_firework,closed,753,1
CASE000196,2026-01-07 01:39:05,2026-01-07 01:42:05,1,31.233065772677687,121.44847754578682,construction_site,suspected_firework,closed,787,0
