alert_id,clip_id,device_id,alert_time,time_bucket,threshold_version,score_at_alert,alert_level,pushed_to_platform,pushed_delay_ms,operator_review_result,review_time_sec
A_v060_0000016,C0000037,D0028,2026-01-17 17:50:49,evening_peak,v060,0.9541032896028956,high,1,829,confirmed_firework,221
A_v060_0000017,C0000038,D0058,2026-01-05 01:11:13,early_morning,v060,0.8723688775889026,medium,1,2303,false_alarm,32
A_v060_0000018,C0000041,D0104,2026-01-02 10:19:34,daytime,v060,0.8626022964487862,medium,1,342,confirmed_firework,80
A_v060_0000019,C0000044,D0073,2026-01-16 02:37:32,early_morning,v060,0.8259141953156919,medium,1,3479,confirmed_firework,258
A_v060_0000020,C0000047,D0090,2026-01-24 22:42:47,night,v060,0.8269341209877836,medium,1,4912,confirmed_firework,86
A_v060_0000021,C0000048,D0084,2026-01-10 18:39:35,evening_peak,v060,0.8295206084958969,medium,1,2581,false_alarm,96
A_v060_0000022,C0000049,D0086,2026-01-11 05:20:13,early_morning,v060,0.6759984580985596,low,1,851,false_alarm,91
A_v060_0000023,C0000052,D0035,2026-01-06 08:23:04,daytime,v060,0.6228866557870709,low,1,3144,false_alarm,65
A_v060_0000024,C0000054,D0015,2026-01-08 22:10:33,night,v060,0.8199413673802307,low,1,2197,false_alarm,47
A_v060_0000025,C0000055,D0028,2026-01-22 23:14:04,night,v060,0.9618003024703762,high,1,1315,confirmed_firework,86
A_v060_0000026,C0000057,D0102,2026-01-11 09:46:04,daytime,v060,0.8113502525616058,low,1,2135,confirmed_firework,255
A_v060_0000027,C0000068,D0102,2026-01-13 19:16:04,evening_peak,v060,0.8061556333559399,low,1,2021,confirmed_firework,188
A_v060_0000028,C0000069,D0116,2026-01-25 17:37:36,evening_peak,v060,0.9151115216752088,high,1,4975,confirmed_firework,129
A_v060_0000029,C0000074,D0009,2026-01-16 21:21:59,night,v060,0.8212945238516672,medium,1,452,confirmed_firework,66
A_v060_0000030,C0000075,D0097,2026-01-04 17:49:10,evening_peak,v060,0.7312613142936749,low,1,2878,false_alarm,219
A_v060_0000031,C0000076,D0062,2026-01-25 18:28:13,evening_peak,v060,0.8588669796137403,medium,1,1424,false_alarm,116
A_v060_0000032,C0000079,D0024,2026-01-09 07:57:49,early_morning,v060,0.6807333334731469,low,1,5308,false_alarm,139
A_v060_0000033,C0000080,D0043,2026-01-16 20:33:11,evening_peak,v060,0.8117344936642601,low,1,3597,confirmed_firework,145
A_v060_0000034,C0000082,D0098,2026-01-18 18:48:57,evening_peak,v060,0.8285692273408746,medium,1,5347,confirmed_firework,198
A_v060_0000035,C0000084,D0110,2026-01-18 15:46:26,daytime,v060,0.827184357512279,medium,1,991,confirmed_firework,174
A_v060_0000036,C0000085,D0087,2026-01-01 19:28:49,evening_peak,v060,0.8034100710712248,low,1,1365,false_alarm,136
A_v060_0000037,C0000087,D0084,2026-01-26 17:29:22,evening_peak,v060,0.8226390376739625,medium,1,3934,confirmed_firework,149
A_v060_0000038,C0000089,D0036,2026-01-09 04:14:04,early_morning,v060,0.8123336382007487,low,1,723,false_alarm,66
A_v060_0000039,C0000091,D0070,2026-01-24 19:33:45,evening_peak,v060,0.6313159223847845,low,1,2999,false_alarm,138
A_v060_0000040,C0000092,D0071,2026-01-16 05:58:08,early_morning,v060,0.8149800516149914,low,1,3754,confirmed_firework,287
A_v060_0000041,C0000094,D0029,2026-01-26 06:18:32,early_morning,v060,0.8863618404818151,medium,1,4770,confirmed_firework,164
A_v060_0000042,C0000095,D0023,2026-01-18 20:49:40,evening_peak,v060,0.9551259477561332,high,1,652,confirmed_firework,138
A_v060_0000043,C0000096,D0114,2026-01-08 10:24:25,daytime,v060,0.6176289862992658,low,1,1678,false_alarm,204
A_v060_0000044,C0000097,D0096,2026-01-13 17:52:25,evening_peak,v060,0.8055055620149587,low,1,4950,confirmed_firework,141
A_v060_0000045,C0000098,D0024,2026-01-25 17:25:49,evening_peak,v060,0.8521903912892188,medium,1,5322,confirmed_firework,202
A_v060_0000046,C0000099,D0037,2026-01-16 18:30:46,evening_peak,v060,0.8189453119342608,low,1,4381,confirmed_firework,148
A_v060_0000047,C0000100,D0029,2026-01-04 19:47:03,evening_peak,v060,0.8084170434975163,low,1,3175,confirmed_firework,60
A_v060_0000048,C0000101,D0059,2026-01-26 21:17:31,night,v060,0.8128290638780017,low,1,2697,confirmed_firework,235
A_v060_0000049,C0000103,D0032,2026-01-13 17:24:06,evening_peak,v060,0.8248053101404789,medium,1,251,false_alarm,85
A_v060_0000050,C0000109,D0103,2026-01-03 16:51:28,daytime,v060,0.8068012222507807,low,1,5144,false_alarm,62
A_v060_0000051,C0000110,D0076,2026-01-02 18:24:24,evening_peak,v060,0.880030166325115,medium,1,2297,confirmed_firework,293
A_v060_0000052,C0000116,D0012,2026-01-13 07:36:42,early_morning,v060,0.9424002803514787,high,1,451,confirmed_firework,220
A_v060_0000053,C0000117,D0073,2026-01-07 14:01:46,daytime,v060,0.8952376357205474,medium,1,3015,confirmed_firework,58
A_v060_0000054,C0000119,D0100,2026-01-25 21:17:38,night,v060,0.8547958634326955,medium,1,2337,confirmed_firework,246
A_v060_0000055,C0000121,D0098,2026-01-10 07:56:35,early_morning,v060,0.9882876954647366,high,1,3323,confirmed_firework,308
A_v060_0000056,C0000124,D0037,2026-01-10 06:58:36,early_morning,v060,0.8205116246317341,medium,1,3058,false_alarm,174
A_v060_0000057,C0000126,D0031,2026-01-25 01:27:46,early_morning,v060,0.809870381959846,low,1,818,confirmed_firework,276
A_v060_0000058,C0000127,D0038,2026-01-10 17:45:32,evening_peak,v060,0.671669738525408,low,1,3957,false_alarm,53
A_v060_0000059,C0000128,D0036,2026-01-14 05:48:48,early_morning,v060,0.8048337745496428,low,1,624,confirmed_firework,262
A_v060_0000060,C0000130,D0117,2026-01-04 13:59:26,daytime,v060,0.8030547102851727,low,1,2574,false_alarm,186
A_v060_0000061,C0000132,D0006,2026-01-17 23:17:10,night,v060,0.9610892953226651,high,1,2850,confirmed_firework,273
A_v060_0000062,C0000133,D0034,2026-01-05 04:44:42,early_morning,v060,0.9534022316095392,high,1,4210,confirmed_firework,253
A_v060_0000063,C0000135,D0063,2026-01-05 12:57:19,daytime,v060,0.855451239713604,medium,1,1066,confirmed_firework,224
A_v060_0000064,C0000136,D0064,2026-01-09 23:17:49,night,v060,0.8758267623416126,medium,1,3186,confirmed_firework,246
A_v060_0000065,C0000140,D0094,2026-01-19 23:14:57,night,v060,0.8085767377427499,low,1,1464,false_alarm,132
A_v060_0000066,C0000141,D0116,2026-01-23 17:56:32,evening_peak,v060,0.8224586558742979,medium,0,1007,confirmed_firework,89
A_v060_0000067,C0000142,D0084,2026-01-29 19:24:02,evening_peak,v060,0.8029545526715713,low,1,5632,confirmed_firework,188
A_v060_0000068,C0000143,D0052,2026-01-22 23:07:57,night,v060,0.6960930125962287,low,1,2332,false_alarm,208
A_v060_0000069,C0000146,D0068,2026-01-10 23:01:55,night,v060,0.8478378298888656,medium,1,2558,confirmed_firework,196
A_v060_0000070,C0000147,D0067,2026-01-18 17:39:40,evening_peak,v060,0.8493401328004115,medium,1,5852,false_alarm,207
A_v060_0000071,C0000150,D0040,2026-01-16 23:20:50,night,v060,0.8391367328022422,medium,1,3316,confirmed_firework,95
A_v060_0000072,C0000151,D0019,2026-01-25 23:48:18,night,v060,0.8052650957851988,low,1,4507,confirmed_firework,97
A_v060_0000073,C0000154,D0049,2026-01-03 04:35:35,early_morning,v060,0.8234891033929268,medium,1,3507,confirmed_firework,297
A_v060_0000074,C0000162,D0061,2026-01-05 23:27:53,night,v060,0.6414407965367291,low,1,2709,false_alarm,25
A_v060_0000075,C0000170,D0084,2026-01-22 17:31:10,evening_peak,v060,0.8258000165147682,medium,1,3221,confirmed_firework,254
A_v060_0000076,C0000173,D0032,2026-01-08 04:49:35,early_morning,v060,0.8914115424316981,medium,1,511,confirmed_firework,188
A_v060_0000077,C0000174,D0003,2026-01-22 19:13:45,evening_peak,v060,0.8245338576749052,medium,1,5887,confirmed_firework,232
A_v060_0000078,C0000176,D0103,2026-01-02 22:32:05,night,v060,0.8258692100884667,medium,1,3451,confirmed_firework,188
A_v060_0000079,C0000182,D0104,2026-01-19 10:24:53,daytime,v060,0.6175155315728823,low,1,2948,false_alarm,41
A_v060_0000080,C0000186,D0031,2026-01-26 13:58:07,daytime,v060,0.8175797275366867,low,1,2656,confirmed_firework,206
A_v060_0000081,C0000187,D0069,2026-01-01 01:45:48,early_morning,v060,0.8517726683704473,medium,1,2478,confirmed_firework,317
A_v060_0000082,C0000188,D0072,2026-01-30 22:55:29,night,v060,0.7620713587603838,low,1,4358,false_alarm,68
A_v060_0000083,C0000191,D0058,2026-01-20 20:36:55,evening_peak,v060,0.8045479870243581,low,1,1927,false_alarm,25
A_v060_0000084,C0000192,D0019,2026-01-15 23:09:43,night,v060,0.8158282427149831,low,1,3761,false_alarm,103
A_v060_0000085,C0000193,D0085,2026-01-14 20:02:02,evening_peak,v060,0.8678460810919939,medium,1,4378,confirmed_firework,194
A_v060_0000086,C0000194,D0089,2026-01-05 19:04:02,evening_peak,v060,0.9074251859944136,high,1,4198,confirmed_firework,74
A_v060_0000087,C0000196,D0086,2026-01-28 14:33:13,daytime,v060,0.6943057234583413,low,1,2477,false_alarm,49
A_v060_0000088,C0000203,D0050,2026-01-05 23:00:35,night,v060,0.8727389419900747,medium,1,5005,confirmed_firework,291
A_v060_0000089,C0000205,D0080,2026-01-25 21:26:47,night,v060,0.8215941926242325,medium,1,4946,false_alarm,121
A_v060_0000090,C0000209,D0100,2026-01-10 22:48:55,night,v060,0.687260930950207,low,1,3305,false_alarm,200
A_v060_0000091,C0000210,D0079,2026-01-04 14:51:59,daytime,v060,0.8441905412452892,medium,1,1434,confirmed_firework,43
A_v060_0000092,C0000211,D0065,2026-01-27 19:11:31,evening_peak,v060,0.726341285023406,low,1,3338,false_alarm,129
A_v060_0000093,C0000212,D0026,2026-01-01 15:06:39,daytime,v060,0.8245873500030346,medium,1,398,false_alarm,199
A_v060_0000094,C0000213,D0098,2026-01-24 22:58:34,night,v060,0.9008762036083803,high,1,3759,confirmed_firework,202
A_v060_0000095,C0000214,D0068,2026-01-04 22:49:58,night,v060,0.8602261810431829,medium,1,4760,confirmed_firework,189
A_v060_0000096,C0000215,D0037,2026-01-20 23:38:19,night,v060,0.8289688554836578,medium,1,2098,confirmed_firework,239
A_v060_0000097,C0000216,D0001,2026-01-26 20:24:29,evening_peak,v060,0.9057942057475505,high,1,283,confirmed_firework,259
A_v060_0000098,C0000218,D0014,2026-01-29 21:42:04,night,v060,0.8020074562502926,low,1,1545,confirmed_firework,220
A_v060_0000099,C0000220,D0107,2026-01-29 23:42:29,night,v060,0.8083465057551548,low,1,4745,confirmed_firework,262
A_v060_0000100,C0000221,D0110,2026-01-22 09:52:40,daytime,v060,0.8079581027364328,low,1,1767,false_alarm,62
A_v060_0000101,C0000224,D0074,2026-01-30 23:26:47,night,v060,0.6943579192090015,low,1,4544,false_alarm,114
A_v060_0000102,C0000225,D0021,2026-01-25 21:25:33,night,v060,0.9240705597729433,high,1,2872,confirmed_firework,195
A_v060_0000103,C0000228,D0080,2026-01-16 15:12:24,daytime,v060,0.6699002581342113,low,1,4453,false_alarm,190
A_v060_0000104,C0000229,D0103,2026-01-04 18:26:41,evening_peak,v060,0.8719515728228947,medium,1,5819,confirmed_firework,50
A_v060_0000105,C0000230,D0024,2026-01-01 20:38:49,evening_peak,v060,0.6080758949736454,low,1,1947,false_alarm,93
A_v060_0000106,C0000232,D0038,2026-01-05 12:34:35,daytime,v060,0.6249936972911532,low,1,4281,false_alarm,100
A_v060_0000107,C0000233,D0023,2026-01-30 04:05:07,early_morning,v060,0.817731455447448,low,1,2872,confirmed_firework,156
A_v060_0000108,C0000236,D0111,2026-01-04 00:21:42,early_morning,v060,0.60441026462477,low,1,1990,false_alarm,49
A_v060_0000109,C0000240,D0099,2026-01-20 18:42:18,evening_peak,v060,0.8509055766639233,medium,1,3917,confirmed_firework,286
A_v060_0000110,C0000241,D0058,2026-01-03 21:56:04,night,v060,0.8476194819802934,medium,1,2535,false_alarm,87
A_v060_0000111,C0000242,D0083,2026-01-09 15:32:49,daytime,v060,0.8114915632668029,low,1,1126,false_alarm,202
A_v060_0000112,C0000245,D0058,2026-01-21 17:30:54,evening_peak,v060,0.8275466994042667,medium,1,985,false_alarm,128
A_v060_0000113,C0000249,D0071,2026-01-14 20:09:44,evening_peak,v060,0.9245607461626296,high,1,4571,confirmed_firework,256
A_v060_0000114,C0000251,D0036,2026-01-21 19:57:27,evening_peak,v060,0.8093886317149482,low,1,4014,confirmed_firework,119
A_v060_0000115,C0000252,D0091,2026-01-16 19:41:47,evening_peak,v060,0.9208907184230618,high,1,3359,confirmed_firework,174
A_v060_0000116,C0000254,D0090,2026-01-17 05:03:22,early_morning,v060,0.8051302650514008,low,1,3067,confirmed_firework,185
A_v060_0000117,C0000261,D0114,2026-01-05 06:32:23,early_morning,v060,0.8968700403815938,medium,1,2250,confirmed_firework,145
A_v060_0000118,C0000263,D0028,2026-01-05 21:35:33,night,v060,0.8128363579502774,low,1,2040,confirmed_firework,153
A_v060_0000119,C0000264,D0022,2026-01-15 22:12:16,night,v060,0.8231529950971039,medium,1,866,false_alarm,74
A_v060_0000120,C0000267,D0067,2026-01-08 09:40:53,daytime,v060,0.8508020766569503,medium,1,3298,confirmed_firework,307
A_v060_0000121,C0000268,D0058,2026-01-16 17:08:20,evening_peak,v060,0.8209964831240708,medium,1,828,confirmed_firework,312
A_v060_0000122,C0000269,D0042,2026-01-10 08:28:25,daytime,v060,0.8162547933573352,low,1,4333,false_alarm,205
A_v060_0000123,C0000270,D0011,2026-01-09 22:17:06,night,v060,0.8277808715194467,medium,1,1504,confirmed_firework,40
A_v060_0000124,C0000274,D0025,2026-01-18 22:40:32,night,v060,0.8204136815272226,medium,1,4338,confirmed_firework,259
A_v060_0000125,C0000278,D0098,2026-01-03 23:18:10,night,v060,0.8020143689224954,low,1,5968,confirmed_firework,264
A_v060_0000126,C0000279,D0012,2026-01-12 05:09:47,early_morning,v060,0.6214555643294286,low,1,787,false_alarm,86
A_v060_0000127,C0000280,D0098,2026-01-04 15:13:28,daytime,v060,0.8262813405192757,medium,1,2700,confirmed_firework,132
A_v060_0000128,C0000281,D0050,2026-01-22 00:45:22,early_morning,v060,0.9440364410818095,high,1,2494,confirmed_firework,72
A_v060_0000129,C0000282,D0090,2026-01-27 04:10:11,early_morning,v060,0.8054063093881476,low,1,3573,confirmed_firework,70
A_v060_0000130,C0000283,D0024,2026-01-27 13:35:56,daytime,v060,0.806014476099073,low,1,1931,false_alarm,136
A_v060_0000131,C0000290,D0062,2026-01-17 21:21:13,night,v060,0.8214658536505758,medium,1,3831,confirmed_firework,52
A_v060_0000132,C0000292,D0031,2026-01-18 23:20:59,night,v060,0.8229226643878746,medium,1,3309,confirmed_firework,195
A_v060_0000133,C0000293,D0005,2026-01-19 00:53:37,early_morning,v060,0.8278915921184838,medium,1,3807,false_alarm,202
A_v060_0000134,C0000294,D0062,2026-01-15 22:22:12,night,v060,0.8160246647685885,low,1,603,confirmed_firework,65
A_v060_0000135,C0000295,D0106,2026-01-16 22:32:19,night,v060,0.8094448677161861,low,1,3134,confirmed_firework,67
A_v060_0000136,C0000296,D0032,2026-01-08 22:20:28,night,v060,0.6549297491328829,low,1,2448,false_alarm,52
A_v060_0000137,C0000297,D0030,2026-01-21 02:10:25,early_morning,v060,0.6422383583085762,low,1,4503,false_alarm,108
A_v060_0000138,C0000298,D0046,2026-01-01 22:17:26,night,v060,0.8275804112236619,medium,1,1916,confirmed_firework,41
A_v060_0000139,C0000299,D0098,2026-01-10 17:57:36,evening_peak,v060,0.806921101886896,low,1,4687,confirmed_firework,259
A_v060_0000140,C0000300,D0032,2026-01-26 21:10:19,night,v060,0.9305086045835979,high,1,2942,confirmed_firework,211
A_v060_0000141,C0000301,D0024,2026-01-07 17:27:11,evening_peak,v060,0.6683046648557412,low,0,4059,false_alarm,163
A_v060_0000142,C0000302,D0094,2026-01-24 22:27:01,night,v060,0.9452463534133979,high,1,1240,confirmed_firework,299
A_v060_0000143,C0000307,D0022,2026-01-29 17:15:45,evening_peak,v060,0.6360423109004726,low,1,1377,false_alarm,51
A_v060_0000144,C0000322,D0009,2026-01-14 17:51:05,evening_peak,v060,0.8057326347677355,low,1,2255,confirmed_firework,292
A_v060_0000145,C0000323,D0103,2026-01-24 02:22:21,early_morning,v060,0.8062697280869614,low,1,4293,confirmed_firework,72
A_v060_0000146,C0000324,D0089,2026-01-10 23:15:45,night,v060,0.8249922682127218,medium,1,2458,confirmed_firework,287
A_v060_0000147,C0000325,D0075,2026-01-16 23:51:34,night,v060,0.8232885067286895,medium,1,3718,confirmed_firework,110
A_v060_0000148,C0000326,D0011,2026-01-16 02:11:03,early_morning,v060,0.8099683241973132,low,1,4699,confirmed_firework,108
A_v060_0000149,C0000327,D0038,2026-01-06 21:59:12,night,v060,0.6404887279981827,low,1,1397,false_alarm,187
A_v060_0000150,C0000329,D0018,2026-01-10 02:39:58,early_morning,v060,0.8252754441714749,medium,1,700,confirmed_firework,65
A_v060_0000151,C0000334,D0074,2026-01-25 21:31:38,night,v060,0.8249726437784233,medium,1,3964,false_alarm,79
A_v060_0000152,C0000337,D0043,2026-01-19 23:44:54,night,v060,0.9562406843570725,high,1,2997,false_alarm,172
A_v060_0000153,C0000338,D0022,2026-01-26 20:45:11,evening_peak,v060,0.8020137010360243,low,0,743,confirmed_firework,73
A_v060_0000154,C0000339,D0059,2026-01-21 23:59:24,night,v060,0.9309612797880512,high,1,3494,confirmed_firework,91
A_v060_0000155,C0000341,D0025,2026-01-30 22:03:21,night,v060,0.9034805860388532,high,1,3003,confirmed_firework,82
A_v060_0000156,C0000342,D0112,2026-01-21 22:23:13,night,v060,0.8166483048821387,low,1,5117,false_alarm,152
A_v060_0000157,C0000349,D0106,2026-01-27 06:36:00,early_morning,v060,0.8295383297050413,medium,1,2905,confirmed_firework,43
A_v060_0000158,C0000350,D0085,2026-01-10 20:23:53,evening_peak,v060,0.8116568493524666,low,1,5320,false_alarm,206
A_v060_0000159,C0000356,D0006,2026-01-18 05:42:55,early_morning,v060,0.8259003533831933,medium,1,3223,confirmed_firework,123
A_v060_0000160,C0000357,D0089,2026-01-16 20:49:19,evening_peak,v060,0.8200945207380851,medium,1,2715,confirmed_firework,167
A_v060_0000161,C0000359,D0112,2026-01-21 19:28:05,evening_peak,v060,0.6706319817000972,low,1,4842,false_alarm,126
A_v060_0000162,C0000360,D0071,2026-01-30 09:14:08,daytime,v060,0.828008785024049,medium,1,5108,false_alarm,38
A_v060_0000163,C0000361,D0035,2026-01-10 18:33:11,evening_peak,v060,0.9463952418786293,high,1,2025,confirmed_firework,158
A_v060_0000164,C0000363,D0058,2026-01-24 18:01:37,evening_peak,v060,0.9182688742003848,high,1,1978,confirmed_firework,275
A_v060_0000165,C0000365,D0020,2026-01-08 17:27:32,evening_peak,v060,0.8837907506447017,medium,1,3274,confirmed_firework,255
A_v060_0000166,C0000369,D0085,2026-01-09 20:51:36,evening_peak,v060,0.9323519291411824,high,1,2885,confirmed_firework,161
A_v060_0000167,C0000377,D0110,2026-01-27 18:01:34,evening_peak,v060,0.8743134421344648,medium,1,3655,confirmed_firework,114
A_v060_0000168,C0000378,D0075,2026-01-22 23:22:39,night,v060,0.7191690037393754,low,1,4360,false_alarm,208
A_v060_0000169,C0000380,D0088,2026-01-14 19:54:50,evening_peak,v060,0.6339985471873572,low,1,2725,false_alarm,117
A_v060_0000170,C0000381,D0046,2026-01-06 05:30:20,early_morning,v060,0.8209989660856858,medium,1,2869,false_alarm,124
A_v060_0000171,C0000382,D0039,2026-01-14 23:50:44,night,v060,0.8819237302095858,medium,1,5940,confirmed_firework,110
A_v060_0000172,C0000384,D0059,2026-01-05 21:36:33,night,v060,0.8158425395359161,low,1,5333,confirmed_firework,287
A_v060_0000173,C0000388,D0109,2026-01-10 22:13:21,night,v060,0.8012887720454844,low,1,4952,confirmed_firework,41
A_v060_0000174,C0000390,D0101,2026-01-03 17:34:46,evening_peak,v060,0.8671311114724374,medium,1,1712,confirmed_firework,110
A_v060_0000175,C0000395,D0094,2026-01-07 23:34:25,night,v060,0.8162038235742586,low,1,5420,false_alarm,168
A_v060_0000176,C0000401,D0104,2026-01-30 12:14:46,daytime,v060,0.8176472111189427,low,1,3054,confirmed_firework,220
A_v060_0000177,C0000402,D0031,2026-01-16 21:21:21,night,v060,0.7005640580526155,low,1,826,false_alarm,169
A_v060_0000178,C0000405,D0050,2026-01-25 21:26:05,night,v060,0.9160200507640843,high,1,4743,confirmed_firework,107
A_v060_0000179,C0000407,D0115,2026-01-24 20:42:42,evening_peak,v060,0.8082266395280775,low,1,2528,confirmed_firework,116
A_v060_0000180,C0000413,D0080,2026-01-15 11:12:22,daytime,v060,0.6179137105683107,low,1,5390,false_alarm,28
A_v060_0000181,C0000420,D0005,2026-01-03 22:22:53,night,v060,0.8077008267033561,low,1,4345,confirmed_firework,310
A_v060_0000182,C0000421,D0110,2026-01-07 15:40:33,daytime,v060,0.8157744680800568,low,1,4561,false_alarm,25
A_v060_0000183,C0000423,D0026,2026-01-16 20:01:22,evening_peak,v060,0.8057053223052816,low,1,4275,confirmed_firework,309
A_v060_0000184,C0000424,D0079,2026-01-25 20:32:27,evening_peak,v060,0.8241634506658176,medium,1,5992,false_alarm,35
A_v060_0000185,C0000426,D0041,2026-01-20 07:31:06,early_morning,v060,0.6733813155859167,low,1,3802,false_alarm,68
A_v060_0000186,C0000427,D0021,2026-01-21 00:08:20,early_morning,v060,0.6768923131265832,low,1,2167,false_alarm,188
A_v060_0000187,C0000428,D0042,2026-01-02 13:31:19,daytime,v060,0.8133551099107845,low,1,3305,confirmed_firework,89
A_v060_0000188,C0000430,D0011,2026-01-14 21:29:10,night,v060,0.8049059111942197,low,1,333,false_alarm,206
A_v060_0000189,C0000435,D0009,2026-01-26 06:09:03,early_morning,v060,0.8271103734479269,medium,1,5265,confirmed_firework,308
A_v060_0000190,C0000436,D0026,2026-01-22 23:46:47,night,v060,0.8130468420451018,low,1,3301,false_alarm,95
A_v060_0000191,C0000438,D0079,2026-01-26 19:41:52,evening_peak,v060,0.9375191722706814,high,1,5229,confirmed_firework,234
A_v060_0000192,C0000439,D0094,2026-01-03 17:57:21,evening_peak,v060,0.9869924220275762,high,1,5002,confirmed_firework,124
A_v060_0000193,C0000440,D0027,2026-01-29 20:55:41,evening_peak,v060,0.8047768044079864,low,1,4220,confirmed_firework,81
A_v060_0000194,C0000442,D0117,2026-01-03 22:43:00,night,v060,0.8042423269687489,low,1,2308,confirmed_firework,294
A_v060_0000195,C0000443,D0026,2026-01-24 23:33:56,night,v060,0.6041115525427454,low,1,3931,false_alarm,180
A_v060_0000196,C0000444,D0101,2026-01-17 22:22:04,night,v060,0.8020920893815963,low,1,1775,confirmed_firework,272
A_v060_0000197,C0000445,D0070,2026-01-23 19:40:18,evening_peak,v060,0.890833498154594,medium,1,3343,confirmed_firework,174
A_v060_0000198,C0000446,D0030,2026-01-03 22:00:00,night,v060,0.8896587463507233,medium,1,1307,false_alarm,93
A_v060_0000199,C0000449,D0039,2026-01-10 06:09:46,early_morning,v060,0.8226640535660309,medium,0,1138,confirmed_firework,140
A_v060_0000200,C0000450,D0067,2026-01-19 17:50:31,evening_peak,v060,0.9354313844889374,high,1,5322,confirmed_firework,96
A_v060_0000201,C0000454,D0068,2026-01-05 23:17:18,night,v060,0.9232952770193009,high,1,560,confirmed_firework,98
A_v060_0000202,C0000457,D0012,2026-01-05 23:00:13,night,v060,0.9121275593376454,high,1,2088,confirmed_firework,164
A_v060_0000203,C0000459,D0091,2026-01-11 23:19:11,night,v060,0.8293087720074648,medium,1,900,confirmed_firework,123
A_v060_0000204,C0000462,D0012,2026-01-14 18:14:01,evening_peak,v060,0.8150887871048369,low,1,1319,confirmed_firework,174
A_v060_0000205,C0000463,D0023,2026-01-10 21:48:18,night,v060,0.8218543214085593,medium,1,4377,confirmed_firework,114
A_v060_0000206,C0000467,D0024,2026-01-29 23:35:46,night,v060,0.8273263735211671,medium,1,5669,false_alarm,58
A_v060_0000207,C0000468,D0017,2026-01-17 19:26:36,evening_peak,v060,0.8049710450869803,low,1,958,confirmed_firework,154
A_v060_0000208,C0000470,D0098,2026-01-25 17:36:53,evening_peak,v060,0.9669100269801822,high,1,1048,confirmed_firework,273
A_v060_0000209,C0000473,D0005,2026-01-22 21:50:26,night,v060,0.6561401224931199,low,1,5369,false_alarm,64
A_v060_0000210,C0000477,D0006,2026-01-17 23:17:10,night,v060,0.822368177964345,medium,1,524,confirmed_firework,275
A_v060_0000211,C0000479,D0107,2026-01-04 23:03:41,night,v060,0.8068117838713907,low,1,3623,confirmed_firework,74
A_v060_0000212,C0000482,D0112,2026-01-04 22:43:26,night,v060,0.8117318158488414,low,1,967,confirmed_firework,79
A_v060_0000213,C0000490,D0044,2026-01-07 12:12:02,daytime,v060,0.9176762625155637,high,1,4078,confirmed_firework,305
A_v060_0000214,C0000494,D0076,2026-01-04 21:02:13,night,v060,0.8235921443869267,medium,1,3252,confirmed_firework,103
A_v060_0000215,C0000496,D0055,2026-01-01 00:04:47,early_morning,v060,0.8056737872444035,low,1,2014,false_alarm,25
A_v060_0000216,C0000499,D0099,2026-01-24 23:40:08,night,v060,0.8250046981025287,medium,1,2693,confirmed_firework,254
A_v060_0000217,C0000500,D0100,2026-01-09 15:35:15,daytime,v060,0.8396511006983217,medium,1,2029,confirmed_firework,177
